,Date,Open,High,Low,Close,Volume,MktCap
196,"Jun 25, 2019","11,007.20","11,790.92","11,007.20","11,790.92",2487968453320,9647943360
197,"Jun 24, 2019","10,853.74","11,065.90","10,610.43","11,011.10",1927165236519,5762668679
198,"Jun 23, 2019","10,696.69","11,246.14","10,556.10","10,855.37",2099832650219,2970090355
199,"Jun 22, 2019","10,175.92","11,157.35","10,107.04","10,701.69",2999520486119,0214124824
200,"Jun 21, 2019","9,525.07","10,144.56","9,525.07","10,144.56",2062400864318,0293241528
201,"Jun 20, 2019","9,273.06","9,594.42","9,232.48","9,527.16",1784682378416,9304784791
202,"Jun 19, 2019","9,078.73","9,299.62","9,070.40","9,273.52",1554680994616,4780855869
203,"Jun 18, 2019","9,335.47","9,348.37","9,004.90","9,081.76",1584821053616,1353637186
204,"Jun 17, 2019","8,988.92","9,416.41","8,988.92","9,320.35",1556295191916,5573372261
205,"Jun 16, 2019","8,841.44","9,335.87","8,814.56","8,994.49",2334855031115,9769423370
206,"Jun 15, 2019","8,689.75","8,859.13","8,618.40","8,838.38",1837103322615,6982138835
207,"Jun 14, 2019","8,230.90","8,710.64","8,183.39","8,693.83",1983116290615,4398880249
208,"Jun 13, 2019","8,145.55","8,311.57","8,087.06","8,230.92",1866940714714,6160317148
209,"Jun 12, 2019","7,925.43","8,196.65","7,862.36","8,145.86",1903443288314,4634684711
210,"Jun 11, 2019","8,004.24","8,026.39","7,772.80","7,927.71",1710727993214,0748537530
211,"Jun 10, 2019","7,692.28","8,031.91","7,586.73","8,000.33",1868927511714,2023351079
212,"Jun 09, 2019","7,949.67","7,975.97","7,583.22","7,688.08",1661072654713,6465098533
213,"Jun 08, 2019","8,036.77","8,076.89","7,837.61","7,954.13",1652272281014,1172841635
214,"Jun 07, 2019","7,826.90","8,126.15","7,788.37","8,043.95",1914142323114,2754693588
215,"Jun 06, 2019","7,819.63","7,937.34","7,571.47","7,822.02",1947461107713,8800725479
216,"Jun 05, 2019","7,704.34","7,901.85","7,668.67","7,824.23",2176092346313,8824651666
217,"Jun 04, 2019","8,210.99","8,210.99","7,564.49","7,707.77",2460973154913,6742790469
218,"Jun 03, 2019","8,741.75","8,743.50","8,204.19","8,208.99",2200451143614,5619047341
219,"Jun 02, 2019","8,565.47","8,809.30","8,561.24","8,742.96",2026621602215,5077231351
220,"Jun 01, 2019","8,573.84","8,625.60","8,481.58","8,564.02",2248830354415,1890214310
221,"May 31, 2019","8,320.29","8,586.66","8,172.55","8,574.50",2536519095715,2059886414
222,"May 30, 2019","8,661.76","9,008.31","8,221.27","8,319.47",2924652855114,7525141134
223,"May 29, 2019","8,718.59","8,755.85","8,482.73","8,659.49",2347347996615,3537047655
224,"May 28, 2019","8,802.76","8,807.02","8,634.72","8,719.96",2422691926715,4590202287
225,"May 27, 2019","8,674.07","8,907.17","8,668.70","8,805.78",2794983956415,6093754762
226,"May 26, 2019","8,055.21","8,687.52","7,924.67","8,673.22",2667797009115,3725486067
227,"May 25, 2019","7,991.89","8,117.93","7,965.98","8,052.54",2225681310714,2708188838
228,"May 24, 2019","7,881.70","8,140.72","7,824.45","7,987.37",2591912699114,1539115575
229,"May 23, 2019","7,677.27","7,943.79","7,533.20","7,881.85",2445710782013,9654107035
230,"May 22, 2019","7,956.29","7,997.61","7,615.99","7,680.07",2471947317513,6063898960
231,"May 21, 2019","7,977.97","8,062.17","7,843.34","7,963.33",2512724505614,1065573610
232,"May 20, 2019","8,196.92","8,200.97","7,678.78","7,978.31",2384340434014,1315695728
233,"May 19, 2019","7,267.96","8,261.94","7,267.96","8,197.69",2590242204014,5185076705
234,"May 18, 2019","7,341.66","7,447.27","7,251.50","7,271.21",2135428656212,8761727083
235,"May 17, 2019","7,886.93","7,929.15","7,038.12","7,343.90",3006664490513,0034777633
236,"May 16, 2019","8,194.50","8,320.82","7,729.61","7,884.91",3316719758113,9599559278
237,"May 15, 2019","7,989.37","8,216.42","7,899.11","8,205.17",2834411292014,5254332460
238,"May 14, 2019","7,807.88","8,268.71","7,696.39","7,994.42",3203145222714,1508656735
239,"May 13, 2019","6,971.18","8,047.41","6,898.28","7,814.92",2867767218113,8316573807
240,"May 12, 2019","7,203.51","7,503.87","6,815.77","6,972.37",2777333368012,3389710222
241,"May 11, 2019","6,379.67","7,333.00","6,375.70","7,204.77",2886756232912,7488435181
242,"May 10, 2019","6,175.82","6,434.62","6,161.52","6,378.85",1941987536811,2863284035
243,"May 09, 2019","5,982.32","6,183.04","5,982.32","6,174.53",1678464541110,9238600750
244,"May 08, 2019","5,849.48","5,989.98","5,794.72","5,982.46",1532060530010,5829143585
245,"May 07, 2019","5,745.60","5,988.18","5,741.40","5,829.50",1802640903310,3112368557
246,"May 06, 2019","5,791.69","5,802.96","5,653.69","5,746.81",1573717180410,1640471056
247,"May 05, 2019","5,831.07","5,833.86","5,708.04","5,795.71",1480883072310,2494420158
248,"May 04, 2019","5,769.20","5,886.89","5,645.47","5,831.17",1756778076610,3112021259
249,"May 03, 2019","5,505.55","5,865.88","5,490.20","5,768.29",1872078000610,1986240859
250,"May 02, 2019","5,402.42","5,522.26","5,394.22","5,505.28",146444609079,7330112147
251,"May 01, 2019","5,350.91","5,418.00","5,347.65","5,402.70",136795282369,5501110091
252,"Apr 30, 2019","5,247.73","5,363.26","5,224.19","5,350.73",138789645749,4573826827
253,"Apr 29, 2019","5,284.86","5,311.27","5,216.49","5,247.35",137354906729,2737510865
254,"Apr 28, 2019","5,271.75","5,326.23","5,255.68","5,285.14",128199920569,3391244395
255,"Apr 27, 2019","5,279.47","5,310.75","5,233.64","5,268.29",131112746759,3086156556
256,"Apr 26, 2019","5,210.30","5,383.63","5,177.37","5,279.35",168121080409,3272287960
257,"Apr 25, 2019","5,466.52","5,542.24","5,181.34","5,210.52",153302834089,2046492864
258,"Apr 24, 2019","5,571.51","5,642.04","5,418.26","5,464.87",170480333999,6530038144
259,"Apr 23, 2019","5,399.37","5,633.80","5,389.41","5,572.36",158673081089,8417387004
260,"Apr 22, 2019","5,312.49","5,422.69","5,280.28","5,399.37",146016316489,5354207776
261,"Apr 21, 2019","5,335.88","5,359.93","5,257.34","5,314.53",137318442239,3847052256
262,"Apr 20, 2019","5,304.16","5,358.49","5,295.88","5,337.89",131696475229,4248717444
263,"Apr 19, 2019","5,298.15","5,336.68","5,233.34","5,303.81",137802386559,3638345002
264,"Apr 18, 2019","5,251.48","5,319.99","5,250.51","5,298.39",132564899189,3532402741
265,"Apr 17, 2019","5,236.14","5,274.28","5,219.21","5,251.94",124384806779,2702617458
266,"Apr 16, 2019","5,066.58","5,238.95","5,055.19","5,235.56",116186601979,2404613297
267,"Apr 15, 2019","5,167.32","5,196.61","5,024.07","5,067.11",122901550618,9422237603
268,"Apr 14, 2019","5,095.76","5,184.02","5,053.57","5,167.72",103919524989,1188595341
269,"Apr 13, 2019","5,088.85","5,127.12","5,061.59","5,096.59",108232895988,9925574875
270,"Apr 12, 2019","5,061.20","5,103.27","4,955.85","5,089.54",136752063128,9792633045
271,"Apr 11, 2019","5,325.08","5,354.23","5,017.30","5,064.49",165556160198,9341168457
272,"Apr 10, 2019","5,204.11","5,421.65","5,193.38","5,324.55",155045909339,3918439274
273,"Apr 09, 2019","5,289.92","5,289.92","5,167.42","5,204.96",147221043619,1799330425
274,"Apr 08, 2019","5,199.84","5,318.84","5,148.21","5,289.77",171541136349,3286365973
275,"Apr 07, 2019","5,062.79","5,235.19","5,050.41","5,198.90",166554161409,1674230186
276,"Apr 06, 2019","5,036.79","5,205.82","4,992.22","5,059.82",169297951948,9212733450
277,"Apr 05, 2019","4,922.81","5,053.51","4,919.49","5,036.68",168373253878,8796118650
278,"Apr 04, 2019","4,971.31","5,063.16","4,836.79","4,922.80",182518102408,6778727821
279,"Apr 03, 2019","4,879.96","5,307.00","4,876.62","4,973.02",228998915828,7655288145
280,"Apr 02, 2019","4,156.92","4,905.95","4,155.32","4,879.88",213150478168,5986009273
281,"Apr 01, 2019","4,105.36","4,164.95","4,096.90","4,158.18",101577941717,3269368747
282,"Mar 31, 2019","4,105.46","4,113.02","4,094.10","4,105.40",90451224437,2339379036
283,"Mar 30, 2019","4,092.14","4,296.81","4,053.91","4,106.66",97326880607,2355190645
284,"Mar 29, 2019","4,068.30","4,113.50","4,034.10","4,098.37",109186655577,2202088875
285,"Mar 28, 2019","4,087.58","4,094.90","4,040.27","4,069.11",93539158997,1678998915
286,"Mar 27, 2019","3,984.24","4,087.07","3,977.81","4,087.07",108971319347,1987847571
287,"Mar 26, 2019","3,969.23","3,985.08","3,944.75","3,985.08",107076788157,0184147203
288,"Mar 25, 2019","4,024.11","4,038.84","3,934.03","3,963.07",103598188836,9789872373
289,"Mar 24, 2019","4,035.16","4,040.70","4,006.19","4,022.17",91448510657,0823042992
290,"Mar 23, 2019","4,022.71","4,049.88","4,015.96","4,035.83",95788505497,1056017910
291,"Mar 22, 2019","4,028.51","4,053.91","4,021.54","4,023.97",92529359697,0840048102
292,"Mar 21, 2019","4,083.95","4,097.36","4,005.15","4,029.33",108312126627,0926226882
293,"Mar 20, 2019","4,070.79","4,089.46","4,031.11","4,087.48",101759163887,1942444088
294,"Mar 19, 2019","4,032.69","4,082.22","4,023.81","4,071.19",93449199567,1647703828
295,"Mar 18, 2019","4,029.97","4,071.56","4,009.12","4,032.51",96469541867,0958165407
296,"Mar 17, 2019","4,047.72","4,054.12","4,006.41","4,025.23",82216254007,0821939585
297,"Mar 16, 2019","3,963.90","4,077.04","3,961.66","4,048.73",98561669737,1227967573
298,"Mar 15, 2019","3,926.66","3,968.54","3,914.02","3,960.91",93942106056,9675002377
299,"Mar 14, 2019","3,905.58","3,946.50","3,901.30","3,924.37",104807895706,9024696307
300,"Mar 13, 2019","3,913.05","3,926.60","3,891.90","3,906.72",94691848416,8706700381
301,"Mar 12, 2019","3,903.76","3,926.89","3,863.56","3,909.16",98098870796,8743000581
302,"Mar 11, 2019","3,953.74","3,966.38","3,889.24","3,905.23",101259019036,8666928025
303,"Mar 10, 2019","3,966.17","3,966.17","3,924.38","3,951.60",97132676076,9475297370
304,"Mar 09, 2019","3,894.55","3,987.24","3,892.39","3,963.31",107961035186,9674508655
305,"Mar 08, 2019","3,913.23","3,950.43","3,875.23","3,901.13",106386389446,8574579320
306,"Mar 07, 2019","3,903.38","3,939.37","3,894.11","3,911.48",95841655196,8749421311
307,"Mar 06, 2019","3,897.08","3,919.51","3,871.46","3,903.94",91752915296,8609885776
308,"Mar 05, 2019","3,759.83","3,903.92","3,745.18","3,896.38",101741264156,8470655400
309,"Mar 04, 2019","3,845.09","3,867.38","3,733.75","3,761.56",90291757886,6094551587
310,"Mar 03, 2019","3,862.27","3,875.48","3,836.91","3,847.18",72535581526,7592376373
311,"Mar 02, 2019","3,855.32","3,874.61","3,832.13","3,864.42",75787860766,7888255371
312,"Mar 01, 2019","3,853.76","3,907.80","3,851.69","3,859.58",76612479756,7796965743
313,"Feb 28, 2019","3,848.26","3,906.06","3,845.82","3,854.79",83997677986,7704774107
314,"Feb 27, 2019","3,857.48","3,888.80","3,787.06","3,851.05",83013096846,7631949500
315,"Feb 26, 2019","3,878.70","3,891.58","3,837.99","3,854.36",79312189966,7683296223
316,"Feb 25, 2019","3,807.00","3,913.71","3,807.00","3,882.70",93187960676,8173204651
317,"Feb 24, 2019","4,145.46","4,210.64","3,793.71","3,810.43",107942274516,6897483404
318,"Feb 23, 2019","3,998.92","4,166.29","3,968.73","4,142.53",89222583167,2720867208
319,"Feb 22, 2019","3,952.41","4,006.54","3,950.82","4,005.53",78265252547,0308555857
320,"Feb 21, 2019","4,000.26","4,010.01","3,940.11","3,954.12",77751281026,9398333876
321,"Feb 20, 2019","3,946.68","4,000.49","3,926.25","3,999.82",86933739487,0194350042
322,"Feb 19, 2019","3,911.66","4,010.88","3,908.15","3,947.09",99336266556,9262673238
323,"Feb 18, 2019","3,671.37","3,936.67","3,669.98","3,915.71",99082166406,8704389994
324,"Feb 17, 2019","3,633.36","3,680.54","3,619.18","3,673.84",70395125036,4453368779
325,"Feb 16, 2019","3,615.27","3,652.84","3,615.27","3,629.79",59347440526,3673369195
